campaign_id,platform,post_type,likes,shares,comments,impressions,engagement_rate,post_date,age_group,campaign_theme
CMP-2025-003,X,Image,5747,9713,3154,2042806,0.91,2025-02-19,25-34,Marketplace Seller Growth
CMP-2025-002,Facebook,Carousel,69888,240,1072,2257429,3.15,2025-02-23,25-34,Urban Mobility Electrification
CMP-2025-006,Facebook,Image,92109,14261,1181,2256504,4.77,2025-08-24,35-44,FinTech Expansion
CMP-2025-002,TikTok,Story,11471,2400,889,159906,9.23,2025-02-06,55+,Urban Mobility Electrification
CMP-2025-004,LinkedIn,Carousel,33901,13357,6357,955814,5.61,2025-06-11,18-24,AI-Driven Operations
CMP-2025-001,X,Image,88250,3876,8762,1634689,6.17,2025-10-27,18-24,Sustainable Retail Transformation
CMP-2025-001,TikTok,Reel,9514,11721,8238,2940712,1.0,2025-11-07,18-24,Sustainable Retail Transformation
CMP-2025-007,Instagram,Carousel,57367,12498,6473,1181769,6.46,2025-03-22,55+,ClimateTech Awareness
CMP-2025-003,Facebook,Reel,17875,12812,8941,923183,4.29,2025-12-13,35-44,Marketplace Seller Growth
CMP-2025-001,Instagram,Image,72551,18188,2316,47767,194.81,2025-10-21,55+,Sustainable Retail Transformation
CMP-2025-003,Facebook,Reel,70405,17941,1394,1653898,5.43,2025-04-19,45-54,Marketplace Seller Growth
CMP-2025-002,Facebook,Story,67181,4667,2637,2710233,2.75,2025-05-10,25-34,Urban Mobility Electrification
CMP-2025-007,X,Carousel,23770,18589,891,481761,8.98,2025-11-27,55+,ClimateTech Awareness
CMP-2025-001,Facebook,Story,38096,2207,4107,307790,14.43,2025-09-07,35-44,Sustainable Retail Transformation
CMP-2025-003,X,Image,16805,7685,1639,1498946,1.74,2025-04-10,35-44,Marketplace Seller Growth
CMP-2025-006,X,Video,59067,10759,5008,2038849,3.67,2025-10-17,55+,FinTech Expansion
CMP-2025-001,TikTok,Video,41462,14034,2762,1529796,3.81,2025-04-24,45-54,Sustainable Retail Transformation
CMP-2025-004,LinkedIn,Carousel,47118,4400,5432,1161479,4.9,2025-07-03,35-44,AI-Driven Operations
CMP-2025-006,X,Image,72308,3566,2879,2043506,3.85,2025-05-24,25-34,FinTech Expansion
CMP-2025-006,Instagram,Image,25746,8625,1252,2260127,1.58,2025-09-17,18-24,FinTech Expansion
CMP-2025-002,Instagram,Story,75877,13275,9667,2441625,4.05,2025-05-14,55+,Urban Mobility Electrification
CMP-2025-004,Facebook,Story,61879,4870,5993,2264569,3.21,2025-05-29,25-34,AI-Driven Operations
CMP-2025-004,TikTok,Story,65683,16725,1483,1950097,4.3,2025-01-06,25-34,AI-Driven Operations
CMP-2025-002,LinkedIn,Video,89674,5434,8423,2576453,4.02,2025-04-02,55+,Urban Mobility Electrification
CMP-2025-003,Instagram,Video,86430,4790,7921,2374189,4.18,2025-09-07,25-34,Marketplace Seller Growth
CMP-2025-001,Facebook,Story,34649,12105,3834,264658,19.11,2025-07-04,45-54,Sustainable Retail Transformation
CMP-2025-006,TikTok,Image,59591,1521,653,1970956,3.13,2025-12-27,55+,FinTech Expansion
CMP-2025-005,X,Video,35847,8628,9480,2658372,2.03,2025-07-12,45-54,Carbon Footprint Reduction
CMP-2025-003,LinkedIn,Video,77028,2550,8465,1533165,5.74,2025-09-22,45-54,Marketplace Seller Growth
CMP-2025-005,Instagram,Story,45224,15953,7898,1481161,4.66,2025-03-13,45-54,Carbon Footprint Reduction
CMP-2025-006,TikTok,Video,30145,2526,8430,695601,5.91,2025-03-18,25-34,FinTech Expansion
CMP-2025-006,Facebook,Carousel,47477,19727,1938,661004,10.46,2025-06-19,18-24,FinTech Expansion
CMP-2025-002,X,Video,88503,15689,7848,2020627,5.54,2025-11-28,45-54,Urban Mobility Electrification
CMP-2025-005,X,Video,31938,1413,2095,95145,37.25,2025-03-10,55+,Carbon Footprint Reduction
CMP-2025-002,TikTok,Video,75008,4812,916,165378,48.82,2025-09-22,45-54,Urban Mobility Electrification
CMP-2025-001,Facebook,Carousel,73872,610,4644,2514887,3.15,2025-11-07,45-54,Sustainable Retail Transformation
CMP-2025-005,Facebook,Story,22356,7188,6730,2021263,1.79,2025-04-04,55+,Carbon Footprint Reduction
CMP-2025-006,TikTok,Carousel,66952,8667,2747,2767767,2.83,2025-11-02,55+,FinTech Expansion
CMP-2025-002,Instagram,Image,30122,12393,6315,289748,16.85,2025-04-14,55+,Urban Mobility Electrification
CMP-2025-005,Instagram,Video,89701,13755,2450,2116437,5.0,2025-09-01,55+,Carbon Footprint Reduction
CMP-2025-007,Instagram,Image,5116,17413,8246,2516801,1.22,2025-09-04,25-34,ClimateTech Awareness
CMP-2025-005,LinkedIn,Reel,70685,39,7069,2532156,3.07,2025-01-23,55+,Carbon Footprint Reduction
CMP-2025-003,X,Story,30079,15798,6246,1800172,2.9,2025-02-20,45-54,Marketplace Seller Growth
CMP-2025-007,Instagram,Reel,33360,15634,3809,562546,9.39,2025-11-03,55+,ClimateTech Awareness
CMP-2025-006,Instagram,Story,33791,6193,89,1714988,2.34,2025-09-25,18-24,FinTech Expansion
CMP-2025-006,TikTok,Carousel,942,12288,3365,2181039,0.76,2025-07-05,18-24,FinTech Expansion
CMP-2025-003,X,Carousel,55846,19181,4155,650188,12.18,2025-10-17,35-44,Marketplace Seller Growth
CMP-2025-004,X,Story,36118,13023,3337,2567413,2.04,2025-09-05,25-34,AI-Driven Operations
CMP-2025-003,TikTok,Story,73281,18183,7925,1553785,6.4,2025-06-26,45-54,Marketplace Seller Growth
CMP-2025-004,Facebook,Image,86413,3902,3764,580101,16.22,2025-04-20,55+,AI-Driven Operations
CMP-2025-002,LinkedIn,Image,44359,18041,852,1681074,3.76,2025-02-16,25-34,Urban Mobility Electrification
CMP-2025-001,TikTok,Video,78675,14266,1444,1979321,4.77,2025-07-09,18-24,Sustainable Retail Transformation
CMP-2025-005,X,Reel,4948,12593,6564,2555452,0.94,2025-12-31,55+,Carbon Footprint Reduction
CMP-2025-001,Facebook,Story,22973,16199,7192,242017,19.16,2025-05-27,25-34,Sustainable Retail Transformation
CMP-2025-006,Facebook,Story,78579,16729,8451,141967,73.09,2025-03-28,18-24,FinTech Expansion
CMP-2025-001,TikTok,Carousel,31359,9,2579,1509858,2.25,2025-06-30,45-54,Sustainable Retail Transformation
CMP-2025-001,Instagram,Image,76818,6563,8482,1701584,5.4,2025-10-09,35-44,Sustainable Retail Transformation
CMP-2025-007,TikTok,Video,76406,11406,5693,2346093,3.99,2025-11-07,25-34,ClimateTech Awareness
CMP-2025-003,Facebook,Carousel,52947,18838,76,1908397,3.77,2025-09-17,18-24,Marketplace Seller Growth
CMP-2025-003,Instagram,Story,9487,16487,4821,2344067,1.31,2025-05-12,55+,Marketplace Seller Growth
CMP-2025-005,LinkedIn,Video,32786,14508,6178,2412279,2.22,2025-06-23,45-54,Carbon Footprint Reduction
CMP-2025-004,Instagram,Reel,60387,19229,448,2859815,2.8,2025-02-04,,AI-Driven Operations
CMP-2025-004,TikTok,Story,28885,7534,5172,2658770,1.56,2025-10-02,18-24,AI-Driven Operations
CMP-2025-001,LinkedIn,Reel,34517,8134,4706,2940446,1.61,2025-02-08,55+,Sustainable Retail Transformation
CMP-2025-002,X,Reel,62463,10284,5792,749623,10.48,2025-04-04,25-34,Urban Mobility Electrification
CMP-2025-006,Facebook,Reel,96614,6542,3847,2093954,5.11,2025-04-16,25-34,FinTech Expansion
CMP-2025-007,Instagram,Image,32728,11666,2555,851464,5.51,2025-02-10,45-54,ClimateTech Awareness
CMP-2025-007,LinkedIn,Reel,868,17743,692,2575576,0.75,2025-11-14,35-44,ClimateTech Awareness
CMP-2025-002,X,Reel,75303,9002,8041,2066025,4.47,2025-07-23,25-34,Urban Mobility Electrification
CMP-2025-007,LinkedIn,Carousel,16809,1774,8613,2419709,1.12,2025-10-04,18-24,ClimateTech Awareness
CMP-2025-004,Instagram,Story,45519,12901,2863,2108533,2.91,2025-08-24,,AI-Driven Operations
CMP-2025-004,X,Image,1103,387,3452,2891758,0.17,2025-06-16,35-44,AI-Driven Operations
CMP-2025-003,Facebook,Reel,34039,6132,8987,2571177,1.91,2025-08-30,55+,Marketplace Seller Growth
CMP-2025-004,Facebook,Carousel,47962,6026,8171,1440050,4.32,2025-12-25,35-44,AI-Driven Operations
CMP-2025-002,X,Video,52506,9162,7384,1532248,4.51,2025-10-22,25-34,Urban Mobility Electrification
CMP-2025-005,LinkedIn,Carousel,94478,8845,3863,419884,25.53,2025-04-11,25-34,Carbon Footprint Reduction
CMP-2025-004,LinkedIn,Video,61995,319,2893,628250,10.38,2025-11-19,55+,AI-Driven Operations
CMP-2025-003,TikTok,Story,94445,10345,7972,2240685,5.03,2025-10-18,18-24,Marketplace Seller Growth
CMP-2025-002,TikTok,Carousel,12972,5352,983,1672018,1.15,2025-11-19,18-24,Urban Mobility Electrification
CMP-2025-003,TikTok,Story,97595,10966,4256,1887827,5.98,2025-10-13,35-44,Marketplace Seller Growth
CMP-2025-003,X,Video,2599,13492,1986,1444428,1.25,2025-10-23,55+,Marketplace Seller Growth
CMP-2025-007,TikTok,Reel,85082,17643,2859,2726733,3.87,2025-06-16,55+,ClimateTech Awareness
CMP-2025-004,X,Reel,96537,14645,1284,2045696,5.5,2025-08-26,25-34,AI-Driven Operations
CMP-2025-006,X,Story,83962,11055,6911,703862,14.48,2025-07-27,18-24,FinTech Expansion
CMP-2025-003,TikTok,Reel,21233,11259,3739,332819,10.89,2025-12-30,35-44,Marketplace Seller Growth
CMP-2025-004,TikTok,Story,84494,12958,4444,2540168,4.01,2025-09-24,45-54,AI-Driven Operations
CMP-2025-002,Facebook,Reel,21930,6025,378,1737395,1.63,2025-12-25,18-24,Urban Mobility Electrification
CMP-2025-001,Instagram,Carousel,21877,13010,1687,884200,4.14,2025-10-08,18-24,Sustainable Retail Transformation
CMP-2025-001,TikTok,Story,52037,17169,1363,111582,63.24,2025-03-21,,Sustainable Retail Transformation
CMP-2025-002,TikTok,Carousel,51097,10137,3757,2747567,2.37,2025-11-17,25-34,Urban Mobility Electrification
CMP-2025-001,TikTok,Reel,69041,5590,468,551616,13.61,2025-09-01,45-54,Sustainable Retail Transformation
CMP-2025-001,LinkedIn,Video,16539,1398,6936,809351,3.07,2025-11-18,25-34,Sustainable Retail Transformation
CMP-2025-001,LinkedIn,Story,33801,10477,1097,2496810,1.82,2025-07-23,55+,Sustainable Retail Transformation
