campaign_id,platform,ad_format,clicks,impressions,ctr,cpc_eur,conversions,cost_eur,date,age_group,device_type
CMP-2025-006,Meta,Banner,2435736,4549063,53.54,7.14,660624,17391176.22,2025-09-18,25-34,Mobile
CMP-2025-003,LinkedIn,Story,1661083,1686945,98.47,1.2,1657532,1993299.0,2025-07-08,45-54,Tablet
CMP-2025-006,YouTube,Story,180807,1089599,16.59,0.62,104375,112150.3,2025-07-30,45-54,Tablet
CMP-2025-006,LinkedIn,Banner,131415,619665,21.21,7.78,19441,1022403.7,2025-03-07,55+,Tablet
CMP-2025-007,Google,Video,1526418,4931706,30.95,6.17,270601,9417992.32,2025-09-23,25-34,Desktop
CMP-2025-005,TikTok,Video,339670,1382243,24.57,2.65,118211,900110.1,2025-05-09,25-34,Tablet
CMP-2025-001,LinkedIn,Carousel,2302263,4621792,49.81,1.09,1270138,2509478.11,2025-10-31,55+,Mobile
CMP-2025-005,Google,Video,1381463,1437134,96.13,5.03,1269068,6948742.65,2025-02-11,18-24,Tablet
CMP-2025-001,YouTube,Story,2220095,4839307,45.88,5.24,1747291,11633309.61,2025-05-29,35-44,Desktop
CMP-2025-001,Google,Carousel,1687554,2055184,82.11,6.48,851637,10935329.66,2025-08-14,45-54,Desktop
CMP-2025-006,TikTok,Banner,855735,3897023,21.96,2.79,150647,2387481.91,2025-07-24,25-34,Desktop
CMP-2025-004,Meta,Carousel,890736,4320966,20.61,2.62,489131,2333690.57,2025-02-19,18-24,Desktop
CMP-2025-005,TikTok,Carousel,2581081,3223482,80.07,3.4,669828,8775706.75,2025-03-23,45-54,Tablet
CMP-2025-004,LinkedIn,Search,2091950,3916929,53.41,7.04,1043061,14727280.32,2025-05-04,25-34,Tablet
CMP-2025-007,YouTube,Banner,204088,2961298,6.89,0.5,129733,102053.75,2025-10-02,18-24,Mobile
CMP-2025-003,Google,Search,561764,3615884,15.54,7.07,383545,3971697.87,2025-01-27,55+,Tablet
CMP-2025-004,LinkedIn,Banner,760268,1633887,46.53,4.47,77103,3398386.59,2025-11-16,55+,Mobile
CMP-2025-003,Meta,Carousel,202756,1080306,18.77,3.21,88889,650852.54,2025-11-05,55+,Desktop
CMP-2025-007,YouTube,Story,337683,4195957,8.05,0.46,71846,155355.54,2025-08-22,25-34,Tablet
CMP-2025-005,TikTok,Story,1172568,4325375,27.11,2.69,668005,3154174.17,2025-06-22,,Tablet
CMP-2025-001,TikTok,Banner,4109132,4466590,92.0,5.7,1257412,23422049.89,2025-12-11,18-24,Desktop
CMP-2025-003,LinkedIn,Story,2580989,4897448,52.7,6.39,111766,16492529.4,2025-04-27,18-24,Tablet
CMP-2025-004,Meta,Carousel,715180,4031296,17.74,4.24,649840,3032390.66,2025-01-17,55+,Tablet
CMP-2025-004,Meta,Search,200052,922870,21.68,0.25,82232,50004.88,2025-09-14,55+,Desktop
CMP-2025-006,YouTube,Story,370030,523453,70.69,1.19,108706,440341.79,2025-07-12,35-44,Mobile
CMP-2025-007,TikTok,Story,3825727,3856937,99.19,4.31,2291235,16488868.8,2025-09-05,25-34,Mobile
CMP-2025-006,Meta,Search,2340786,2341475,99.97,2.46,1248285,5758360.68,2025-06-12,45-54,Desktop
CMP-2025-004,TikTok,Carousel,2293929,4702710,48.78,2.37,2278307,5436599.7,2025-05-29,18-24,Desktop
CMP-2025-004,Meta,Carousel,363189,663946,54.7,7.4,343918,2687574.24,2025-10-03,35-44,Tablet
CMP-2025-006,LinkedIn,Carousel,575765,2279526,25.26,0.96,250905,552708.65,2025-11-23,25-34,Mobile
CMP-2025-007,Meta,Video,433378,841521,51.5,2.71,247675,1174414.43,2025-10-09,25-34,Desktop
CMP-2025-003,TikTok,Video,2002565,3991457,50.17,5.24,1585260,10493486.99,2025-02-15,55+,Mobile
CMP-2025-007,Meta,Video,312881,4490182,6.97,7.31,91784,2287151.9,2025-07-23,45-54,Mobile
CMP-2025-003,TikTok,Search,157145,2429224,6.47,0.17,148887,26724.93,2025-11-25,55+,Tablet
CMP-2025-003,Meta,Video,3729827,4144237,90.0,7.51,3569603,28011001.19,2025-06-19,,Tablet
CMP-2025-003,TikTok,Story,2719106,3850653,70.61,2.13,780975,5791647.19,2025-12-12,25-34,Mobile
CMP-2025-001,Meta,Carousel,1793918,3402499,52.72,4.17,181902,7480628.14,2025-09-02,35-44,Mobile
CMP-2025-003,TikTok,Story,17091,58295,29.32,3.13,14638,53520.21,2025-10-21,18-24,Desktop
CMP-2025-003,Meta,Search,2905683,3017141,96.31,1.97,2800897,5724157.33,2025-12-18,55+,Tablet
CMP-2025-002,Meta,Carousel,492478,2609672,18.87,5.15,154684,2536248.45,2025-09-02,25-34,Desktop
CMP-2025-007,Meta,Carousel,1744183,3135192,55.63,5.65,987398,9854659.69,2025-12-15,55+,Mobile
CMP-2025-005,Google,Video,3747594,4409269,84.99,4.27,1517435,16002184.19,2025-10-08,55+,Mobile
CMP-2025-004,Google,Carousel,4501832,4805169,93.69,1.28,2752450,5762380.41,2025-10-26,45-54,Mobile
CMP-2025-004,YouTube,Story,3736980,4282338,87.26,6.49,1901832,24252963.39,2025-01-30,55+,Desktop
CMP-2025-005,Google,Video,91312,2586113,3.53,3.23,395,294962.34,2025-08-05,35-44,Tablet
CMP-2025-004,Google,Banner,63183,535856,11.79,7.48,4523,472657.45,2025-07-29,25-34,Mobile
CMP-2025-004,YouTube,Video,1570603,3527251,44.53,7.94,802117,12470582.67,2025-12-16,55+,Mobile
CMP-2025-002,Meta,Video,497584,2918305,17.05,1.51,281678,751341.15,2025-01-12,35-44,Desktop
CMP-2025-004,TikTok,Carousel,3557844,4568138,77.88,4.3,3453423,15298702.17,2025-05-22,25-34,Tablet
CMP-2025-001,Meta,Carousel,33783,947609,3.57,6.49,27475,219263.16,2025-02-04,18-24,Tablet
CMP-2025-002,Google,Search,234064,282658,82.81,4.82,184362,1128225.7,2025-08-13,25-34,Tablet
CMP-2025-003,Meta,Story,1582062,1823586,86.76,6.92,118371,10947833.05,2025-06-13,55+,Tablet
CMP-2025-005,Meta,Search,993648,2690933,36.93,2.48,150219,2464295.61,2025-06-03,35-44,Mobile
CMP-2025-001,TikTok,Search,1469124,4671090,31.45,5.05,895904,7419081.79,2025-09-26,35-44,Tablet
CMP-2025-005,YouTube,Carousel,1712364,3493384,49.02,1.28,789494,2191794.31,2025-04-26,35-44,Tablet
CMP-2025-004,LinkedIn,Story,971035,1211910,80.12,7.33,589704,7117677.82,2025-03-10,45-54,Mobile
CMP-2025-007,TikTok,Video,852857,2140058,39.85,2.71,82911,2311284.69,2025-10-02,25-34,Mobile
CMP-2025-001,Meta,Story,1581958,2253019,70.22,5.42,1264419,8574166.31,2025-12-10,55+,Mobile
CMP-2025-001,Meta,Carousel,876145,4022450,21.78,6.97,349138,6106710.97,2025-03-02,45-54,Mobile
CMP-2025-003,YouTube,Search,831798,1716580,48.46,7.33,578897,6097061.5,2025-10-01,35-44,Desktop
CMP-2025-007,YouTube,Banner,1508459,2195137,68.72,4.15,1042866,6260101.45,2025-04-15,35-44,Desktop
CMP-2025-001,TikTok,Story,191745,3473297,5.52,4.54,58005,870546.43,2025-10-27,55+,Tablet
CMP-2025-005,Meta,Search,1238127,3503898,35.34,1.3,691777,1609538.1,2025-10-09,35-44,Desktop
CMP-2025-002,TikTok,Carousel,4053830,4099850,98.88,5.82,3102082,23593289.66,2025-03-13,55+,Desktop
CMP-2025-007,Google,Video,1136944,1544904,73.59,7.92,123170,9004598.87,2025-01-04,45-54,Mobile
CMP-2025-004,TikTok,Video,142540,1942404,7.34,5.69,2396,811024.47,2025-11-13,55+,Desktop
CMP-2025-005,TikTok,Story,65984,4093419,1.61,0.15,53914,9848.79,2025-05-27,18-24,Tablet
CMP-2025-001,LinkedIn,Carousel,3381313,3612909,93.59,7.52,751899,25427434.46,2025-05-04,25-34,Tablet
CMP-2025-001,TikTok,Search,2117438,4417232,47.94,6.54,1121241,13848074.01,2025-08-24,55+,Mobile
CMP-2025-007,Google,Video,629093,1895627,33.19,5.5,84532,3460026.87,2025-07-27,,Desktop
CMP-2025-001,YouTube,Search,3993021,4637395,86.1,0.54,39636,2156251.62,2025-11-27,35-44,Tablet
CMP-2025-007,LinkedIn,Search,553816,800953,69.14,7.36,240927,4076056.9,2025-05-19,18-24,Mobile
CMP-2025-007,TikTok,Video,2277636,2352939,96.8,4.55,138000,10363211.74,2025-04-17,55+,Mobile
CMP-2025-007,YouTube,Story,322700,3342149,9.66,2.46,295676,793816.05,2025-06-19,45-54,Tablet
CMP-2025-004,Meta,Video,164475,1174990,14.0,4.06,90664,667723.87,2025-06-24,55+,Tablet
CMP-2025-003,YouTube,Search,3327787,4997327,66.59,7.75,1368922,25790302.21,2025-04-27,35-44,Tablet
CMP-2025-001,LinkedIn,Banner,1811302,3150309,57.5,1.57,1228669,2843760.21,2025-05-07,18-24,Mobile
CMP-2025-003,TikTok,Video,646850,2248912,28.76,3.1,161771,2005258.97,2025-02-16,18-24,Desktop
CMP-2025-002,YouTube,Search,1509604,3731714,40.45,6.11,214394,9223643.69,2025-10-13,55+,Tablet
CMP-2025-005,LinkedIn,Banner,433242,3423922,12.65,0.31,185553,134310.44,2025-07-17,18-24,Desktop
CMP-2025-002,LinkedIn,Story,1626550,3472290,46.84,6.26,1520107,10182243.11,2025-03-28,45-54,Mobile
CMP-2025-002,YouTube,Banner,563964,1165674,48.38,2.48,517077,1398595.31,2025-08-04,35-44,Desktop
CMP-2025-004,LinkedIn,Story,378667,646263,58.59,2.09,129284,791436.12,2025-04-11,45-54,Mobile
CMP-2025-005,YouTube,Banner,638915,1137568,56.16,0.15,414913,95820.47,2025-08-14,35-44,Desktop
CMP-2025-002,YouTube,Banner,1141895,4987129,22.9,2.47,421216,2820478.55,2025-05-30,45-54,Tablet
CMP-2025-005,Meta,Story,683433,2034602,33.59,3.07,412022,2098125.81,2025-10-07,25-34,Tablet
CMP-2025-002,YouTube,Banner,225789,4615566,4.89,7.63,121011,1722814.37,2025-12-21,18-24,Desktop
CMP-2025-002,YouTube,Search,583760,4189458,13.93,5.1,253777,2977151.27,2025-02-07,45-54,Tablet
CMP-2025-007,YouTube,Story,2442109,4021112,60.73,3.27,2124887,7985738.78,2025-01-19,35-44,Tablet
CMP-2025-003,Meta,Story,712881,4504893,15.82,0.96,260289,684381.52,2025-01-23,55+,Tablet
CMP-2025-001,TikTok,Carousel,3156981,3353236,94.15,2.72,1805461,8586948.91,2025-09-19,55+,Tablet
CMP-2025-007,LinkedIn,Story,4825425,4870740,99.07,1.85,3138342,8927025.36,2025-03-19,35-44,Mobile
CMP-2025-006,Meta,Banner,438512,4050777,10.83,2.43,45012,1065545.77,2025-06-09,35-44,Desktop
CMP-2025-006,YouTube,Banner,1092858,1736328,62.94,3.92,998585,4283963.12,2025-02-04,35-44,Mobile
CMP-2025-007,Meta,Carousel,23683,966405,2.45,6.81,21232,161242.17,2025-09-22,25-34,Tablet
CMP-2025-004,Meta,Carousel,694136,1344315,51.63,4.52,484498,3137467.91,2025-11-24,45-54,Desktop
CMP-2025-004,YouTube,Video,193302,245882,78.62,4.95,51727,956839.86,2025-12-27,25-34,Mobile
CMP-2025-002,YouTube,Video,262412,2335925,11.23,4.66,98020,1222826.5,2025-05-15,45-54,Tablet
CMP-2025-003,TikTok,Search,2503878,2630024,95.2,3.17,1646448,7937301.96,2025-11-13,25-34,Tablet
CMP-2025-002,TikTok,Video,2475346,2496148,99.17,0.77,561817,1905997.74,2025-04-04,35-44,Tablet
CMP-2025-004,Meta,Search,1071278,1186801,90.27,3.17,289128,3395958.74,2025-11-22,55+,Tablet
CMP-2025-003,YouTube,Story,1163737,1454198,80.03,1.42,605730,1652470.57,2025-01-28,35-44,Mobile
CMP-2025-005,YouTube,Search,572669,4066194,14.08,1.64,402594,939223.54,2025-12-17,45-54,Desktop
CMP-2025-007,Meta,Banner,2049755,3724298,55.04,1.42,1185725,2910605.19,2025-01-17,35-44,Mobile
CMP-2025-007,YouTube,Story,2421543,4510787,53.68,1.43,1918144,3462813.06,2025-09-19,18-24,Tablet
CMP-2025-007,Google,Search,280902,959034,29.29,6.22,192341,1747214.64,2025-10-07,25-34,Desktop
CMP-2025-001,YouTube,Banner,771741,860131,89.72,6.66,259555,5139774.83,2025-06-28,18-24,Desktop
CMP-2025-005,TikTok,Story,813309,985705,82.51,6.51,220073,5294672.66,2025-11-20,45-54,Mobile
CMP-2025-003,LinkedIn,Banner,433313,1168987,37.07,6.53,422282,2829489.83,2025-11-02,55+,Mobile
CMP-2025-005,Google,Carousel,1227399,2716003,45.19,2.39,560659,2933528.85,2025-07-30,18-24,Desktop
CMP-2025-007,YouTube,Search,278273,1065415,26.12,2.07,168871,576057.96,2025-03-14,55+,Tablet
CMP-2025-007,Google,Search,1737386,2255162,77.04,3.06,158369,5316414.52,2025-09-21,,Tablet
CMP-2025-007,Google,Search,1907132,3096993,61.58,7.61,686375,14513282.72,2025-11-22,,Mobile
CMP-2025-004,TikTok,Banner,3336283,4484077,74.4,1.82,1802053,6072067.54,2025-05-26,35-44,Tablet
CMP-2025-006,Google,Video,1095504,4849058,22.59,4.57,1017827,5006482.11,2025-02-20,45-54,Mobile
CMP-2025-004,Meta,Carousel,974582,1043176,93.42,6.88,462721,6705119.81,2025-11-29,35-44,Mobile
CMP-2025-006,Meta,Video,391497,2299641,17.02,5.27,131276,2063147.43,2025-07-22,35-44,Tablet
CMP-2025-002,YouTube,Video,900163,1965140,45.81,5.28,737880,4752820.16,2025-03-09,55+,Mobile
CMP-2025-001,YouTube,Carousel,3733492,4358414,85.66,0.17,2917545,634678.0,2025-09-02,18-24,Mobile
CMP-2025-003,TikTok,Carousel,374682,3214423,11.66,5.87,53701,2199343.66,2025-07-15,25-34,Tablet
CMP-2025-002,YouTube,Banner,143470,1199338,11.96,4.29,2221,615497.33,2025-04-20,25-34,Desktop
CMP-2025-001,LinkedIn,Search,3606945,3711984,97.17,1.82,421381,6564603.9,2025-06-29,45-54,Desktop
CMP-2025-005,LinkedIn,Story,519646,1173980,44.26,2.29,44170,1189964.16,2025-05-26,18-24,Tablet
CMP-2025-004,TikTok,Video,861702,2531418,34.04,4.19,534273,3610500.24,2025-05-03,45-54,Desktop
CMP-2025-001,TikTok,Banner,252793,946762,26.7,4.05,155695,1023768.75,2025-03-09,45-54,Tablet
CMP-2025-007,Google,Video,1532651,3531459,43.4,4.42,362325,6774343.69,2025-10-28,18-24,Mobile
CMP-2025-004,LinkedIn,Banner,904892,2200369,41.12,0.41,63406,371050.59,2025-11-18,55+,Desktop
CMP-2025-005,Meta,Banner,2943608,3554206,82.82,3.28,2686608,9655037.9,2025-02-12,35-44,Mobile
CMP-2025-004,LinkedIn,Video,1704545,4290134,39.73,7.8,325849,13295454.64,2025-06-08,45-54,Tablet
CMP-2025-004,LinkedIn,Story,121438,2002835,6.06,2.03,121192,246512.59,2025-01-29,35-44,Tablet
CMP-2025-002,YouTube,Banner,250491,1474424,16.99,0.2,35969,50118.35,2025-09-25,55+,Tablet
CMP-2025-001,Google,Banner,700294,2175721,32.19,3.04,281819,2128917.05,2025-08-08,,Tablet
CMP-2025-005,TikTok,Video,275723,536797,51.36,5.73,40406,1579892.4,2025-09-13,55+,Mobile
CMP-2025-006,Google,Carousel,659806,3085388,21.38,2.12,107903,1398828.15,2025-09-18,,Mobile
CMP-2025-002,Meta,Video,32054,104079,30.8,0.46,11926,14733.14,2025-10-11,45-54,Mobile
CMP-2025-007,Google,Story,1041292,2700470,38.56,3.39,755276,3529961.87,2025-07-10,18-24,Tablet
CMP-2025-004,Google,Search,94029,442846,21.23,1.86,67603,174942.08,2025-05-25,35-44,Desktop
CMP-2025-005,TikTok,Story,579959,725654,79.92,3.71,386839,2151617.96,2025-05-05,45-54,Desktop
CMP-2025-005,Meta,Carousel,4138610,4964463,83.36,7.98,3254301,33026077.34,2025-01-04,45-54,Mobile
CMP-2025-001,YouTube,Banner,1135703,1955526,58.08,2.84,20121,3225441.62,2025-02-23,,Tablet
CMP-2025-002,TikTok,Video,880418,1998894,44.05,3.99,62804,3512915.08,2025-01-23,25-34,Tablet
CMP-2025-001,LinkedIn,Video,2939565,3465971,84.81,7.18,1922912,21106124.16,2025-09-16,25-34,Tablet
CMP-2025-002,Meta,Banner,313862,3309058,9.48,4.78,32654,1500253.86,2025-05-14,35-44,Desktop
CMP-2025-002,Meta,Story,1334031,2737796,48.73,3.68,489918,4909191.55,2025-02-25,25-34,Mobile
CMP-2025-003,Meta,Search,942810,1379877,68.33,3.78,426259,3563783.87,2025-06-07,45-54,Desktop
CMP-2025-006,LinkedIn,Video,94814,1006907,9.42,1.35,89922,127979.32,2025-04-21,35-44,Mobile
CMP-2025-001,TikTok,Banner,745703,766149,97.33,2.06,373023,1536137.8,2025-03-31,18-24,Desktop
CMP-2025-001,Meta,Video,2331840,3794338,61.46,6.01,1047957,14014317.87,2025-01-07,18-24,Mobile
CMP-2025-006,Google,Story,415516,1097518,37.86,6.61,195160,2746579.39,2025-10-28,35-44,Mobile
CMP-2025-001,TikTok,Video,16901,183873,9.19,1.66,14530,28086.59,2025-01-22,45-54,Mobile
CMP-2025-004,YouTube,Carousel,1203523,1410195,85.34,3.52,828372,4236400.57,2025-07-01,25-34,Mobile
CMP-2025-005,LinkedIn,Carousel,1173796,2307714,50.86,3.62,311702,4249094.98,2025-11-28,35-44,Desktop
CMP-2025-002,YouTube,Carousel,2309756,3457041,66.81,3.88,367930,8961831.26,2025-11-26,55+,Mobile
CMP-2025-007,YouTube,Banner,163830,4561522,3.59,7.92,94139,1297531.57,2025-10-17,55+,Desktop
CMP-2025-001,TikTok,Video,1134290,3258978,34.81,1.52,668734,1724130.51,2025-08-30,55+,Desktop
CMP-2025-002,TikTok,Story,1952551,4899854,39.85,7.79,209996,15210347.08,2025-01-29,25-34,Tablet
CMP-2025-005,TikTok,Banner,1488159,3259324,45.66,7.49,364300,11146278.52,2025-10-30,18-24,Tablet
CMP-2025-007,YouTube,Story,2380903,2951123,80.68,4.55,2361849,10833153.49,2025-06-08,25-34,Desktop
CMP-2025-005,YouTube,Video,47321,319462,14.81,0.54,39430,25525.22,2025-06-19,55+,Mobile
CMP-2025-002,LinkedIn,Carousel,714624,1095625,65.23,5.76,339307,4116190.2,2025-02-26,55+,Desktop
CMP-2025-001,TikTok,Banner,391739,609439,64.28,5.67,347151,2221149.69,2025-06-15,25-34,Mobile
CMP-2025-002,LinkedIn,Story,3321229,3665717,90.6,5.15,2043464,17104344.27,2025-07-02,25-34,Tablet
CMP-2025-002,Google,Story,1470957,4941471,29.77,3.09,1443885,4545236.58,2025-07-20,55+,Mobile
CMP-2025-001,YouTube,Carousel,1263301,1528412,82.65,2.61,463250,3297229.57,2025-06-19,18-24,Mobile
CMP-2025-006,TikTok,Search,1340159,2910254,46.05,1.43,186071,1916459.54,2025-01-06,35-44,Mobile
CMP-2025-006,Google,Video,1453696,2094300,69.41,0.64,538250,930394.14,2025-07-17,45-54,Tablet
CMP-2025-003,LinkedIn,Search,697674,3521306,19.81,7.09,517033,4946546.84,2025-02-21,45-54,Tablet
CMP-2025-003,TikTok,Video,341116,1893325,18.02,3.67,17517,1251875.21,2025-02-07,35-44,Mobile
CMP-2025-001,TikTok,Story,674883,3150569,21.42,5.88,573619,3968356.22,2025-11-11,45-54,Tablet
CMP-2025-004,Meta,Video,113069,260989,43.32,7.55,21626,853681.68,2025-02-21,,Mobile
CMP-2025-005,TikTok,Banner,858323,1594703,53.82,5.61,757111,4815234.59,2025-06-02,25-34,Mobile
CMP-2025-003,Google,Search,205994,417372,49.36,4.62,128699,951657.64,2025-02-14,35-44,Tablet
CMP-2025-005,TikTok,Carousel,1011356,2893412,34.95,5.89,658775,5956847.21,2025-01-23,35-44,Tablet
CMP-2025-004,Meta,Carousel,2696081,2840940,94.9,1.48,1948769,3990247.96,2025-02-02,45-54,Mobile
CMP-2025-003,TikTok,Story,845534,2462574,34.34,0.45,209159,380528.88,2025-07-23,55+,Desktop
