campaign_id,channel,station_name,program_name,timeslot,spot_duration_sec,impressions,reach_pct,frequency,cost_eur,broadcast_date,region
CMP-2025-007,Radio,Station_4,,Morning,52,514602,41.52,7,124487,2025-07-30,DE-Berlin
CMP-2025-006,TV,Station_1,Program_13,Evening,16,1816596,24.37,4,14700,2025-10-02,DE-Berlin
CMP-2025-002,Radio,Station_8,Program_8,Morning,38,298983,76.95,9,111093,2025-02-20,NL-North
CMP-2025-007,TV,Station_2,Program_30,Afternoon,20,1372646,39.2,8,142211,2025-04-20,DE-Berlin
CMP-2025-002,Radio,Station_1,Program_13,Evening,60,1897559,74.8,5,15870,2025-08-05,DE-Berlin
CMP-2025-003,TV,Station_1,Program_19,Morning,57,329632,30.48,1,50280,2025-10-27,DE-Berlin
CMP-2025-002,TV,Station_9,Program_3,Afternoon,14,1059553,56.93,11,139731,2025-05-01,DE-Berlin
CMP-2025-002,TV,Station_10,Program_3,Night,52,256420,55.87,9,149836,2025-06-11,BE-Flanders
CMP-2025-002,Radio,Station_7,Program_5,Evening,39,433362,30.72,2,82861,2025-01-05,DE-Berlin
CMP-2025-001,TV,Station_9,Program_7,Evening,18,1307665,88.73,2,148085,2025-05-06,BE-Flanders
CMP-2025-004,Radio,Station_10,Program_26,Morning,52,602661,77.81,5,41852,2025-12-06,NL-North
CMP-2025-003,TV,Station_15,Program_4,Afternoon,27,1974078,27.49,4,35703,2025-06-25,NL-South
CMP-2025-005,Radio,Station_5,Program_29,Morning,15,1446785,60.62,5,69701,2025-01-23,NL-North
CMP-2025-006,Radio,Station_3,Program_24,Night,45,704518,67.33,9,34793,2025-01-05,NL-North
CMP-2025-005,TV,Station_14,Program_12,Afternoon,37,162797,12.98,5,39573,2025-07-06,NL-North
CMP-2025-002,TV,Station_11,Program_4,Evening,59,1890181,53.63,7,94297,2025-11-14,NL-South
CMP-2025-007,TV,Station_13,Program_26,Afternoon,36,1946467,3.33,12,62559,2025-06-20,DE-Berlin
CMP-2025-003,TV,Station_13,Program_23,Morning,34,1687409,82.98,8,65555,2025-04-24,NL-South
CMP-2025-003,Radio,Station_14,Program_26,Afternoon,24,1717506,3.22,4,121165,2025-07-24,BE-Flanders
CMP-2025-007,Radio,Station_6,Program_21,Night,53,589272,93.23,9,18698,2025-06-19,NL-North
CMP-2025-002,Radio,Station_1,Program_4,Night,32,246889,69.48,6,68975,2025-08-12,NL-North
CMP-2025-003,TV,Station_12,Program_14,Morning,43,812813,88.0,9,50328,2025-12-18,NL-South
CMP-2025-001,Radio,Station_10,Program_11,Morning,56,768827,85.6,9,113562,2025-06-08,DE-Berlin
CMP-2025-006,Radio,Station_9,Program_5,Afternoon,36,689055,63.5,7,105986,2025-12-13,NL-South
CMP-2025-003,Radio,Station_9,Program_27,Morning,29,1295828,27.97,7,149687,2025-10-24,BE-Flanders
CMP-2025-004,TV,Station_9,Program_16,Afternoon,52,980150,8.97,9,116311,2025-12-06,BE-Flanders
CMP-2025-006,Radio,Station_4,Program_26,Afternoon,19,200847,3.3,4,62069,2025-09-01,NL-North
CMP-2025-006,TV,Station_12,Program_23,Night,41,960076,38.57,3,109143,2025-12-02,NL-North
CMP-2025-007,Radio,Station_4,Program_6,Night,13,1877043,53.4,2,28441,2025-08-22,NL-South
CMP-2025-006,Radio,Station_13,Program_29,Night,49,1685692,77.61,9,122303,2025-08-07,DE-Berlin
CMP-2025-006,Radio,Station_8,Program_9,Afternoon,50,1886581,27.07,9,42222,2025-09-06,NL-South
CMP-2025-001,Radio,Station_4,Program_9,Evening,30,580872,84.94,2,115809,2025-03-12,NL-South
CMP-2025-006,TV,Station_12,Program_7,Morning,36,489990,39.31,9,100910,2025-08-27,DE-Berlin
CMP-2025-007,Radio,Station_7,Program_29,Morning,58,135580,55.11,8,54720,2025-01-04,BE-Flanders
CMP-2025-007,Radio,Station_9,Program_24,Afternoon,41,631236,21.63,7,102732,2025-09-06,NL-North
CMP-2025-006,Radio,Station_12,Program_6,Night,18,820492,93.19,9,88614,2025-01-14,DE-Berlin
CMP-2025-006,TV,Station_2,Program_21,Night,18,1246289,82.48,3,148451,2025-01-26,BE-Flanders
CMP-2025-002,Radio,Station_6,Program_11,Night,27,800038,71.69,7,86313,2025-05-10,NL-North
CMP-2025-006,TV,Station_6,Program_8,Morning,59,991304,90.98,1,5581,2025-01-16,NL-South
CMP-2025-005,TV,Station_4,Program_5,Night,52,423089,11.75,4,5842,2025-08-27,BE-Flanders
CMP-2025-002,TV,Station_13,Program_27,Afternoon,29,1613301,11.16,1,97203,2025-06-09,DE-Berlin
CMP-2025-001,TV,Station_2,Program_23,Evening,53,836844,57.44,2,52490,2025-10-17,NL-North
CMP-2025-004,Radio,Station_2,Program_17,Evening,10,733139,80.86,8,140155,2025-02-24,DE-Berlin
CMP-2025-006,TV,Station_7,Program_6,Evening,49,764563,76.97,9,121017,2025-09-05,DE-Berlin
CMP-2025-003,TV,Station_14,Program_30,Morning,27,918465,83.87,4,70858,2025-08-26,DE-Berlin
CMP-2025-004,Radio,Station_3,Program_16,Afternoon,32,710474,76.0,6,8023,2025-05-24,BE-Flanders
CMP-2025-005,TV,Station_2,Program_8,Night,41,1170578,53.19,4,3161,2025-12-20,DE-Berlin
CMP-2025-004,TV,Station_2,Program_10,Afternoon,35,1359556,66.03,5,129165,2025-12-06,BE-Flanders
CMP-2025-005,Radio,Station_7,Program_24,Evening,32,997499,67.07,5,145589,2025-06-06,BE-Flanders
CMP-2025-006,TV,Station_6,Program_4,Afternoon,22,488473,21.34,8,32129,2025-05-22,BE-Flanders
CMP-2025-003,TV,Station_6,Program_6,Evening,10,215818,67.55,3,51386,2025-05-21,NL-North
CMP-2025-003,TV,Station_11,,Night,16,119349,83.04,10,145559,2025-05-26,DE-Berlin
CMP-2025-003,TV,Station_1,Program_9,Night,17,1008936,78.28,7,115966,2025-09-09,NL-North
CMP-2025-002,TV,Station_13,Program_19,Evening,15,1215101,94.43,2,14553,2025-10-13,DE-Berlin
CMP-2025-007,Radio,Station_8,Program_30,Night,29,1276540,81.86,7,59662,2025-06-06,
CMP-2025-007,TV,Station_11,Program_7,Evening,52,1283488,8.63,4,26513,2025-03-30,NL-North
CMP-2025-004,Radio,Station_12,Program_20,Night,28,333272,4.07,5,1201,2025-12-28,BE-Flanders
CMP-2025-001,TV,Station_15,Program_9,Afternoon,37,1479271,11.79,4,119521,2025-11-28,NL-South
CMP-2025-007,TV,Station_2,Program_2,Afternoon,60,1910076,29.92,12,70133,2025-10-19,BE-Flanders
CMP-2025-004,Radio,Station_12,Program_13,Evening,42,925971,51.76,8,33098,2025-02-11,NL-North
CMP-2025-006,Radio,Station_10,Program_9,Morning,15,1870254,22.52,11,113753,2025-10-22,NL-North
CMP-2025-005,TV,Station_13,Program_25,Afternoon,40,1608818,49.78,8,71150,2025-05-23,NL-South
CMP-2025-006,Radio,Station_2,Program_16,Evening,36,1232525,32.33,11,114764,2025-02-23,NL-South
CMP-2025-006,Radio,Station_5,Program_22,Night,58,696648,52.71,8,108410,2025-02-15,BE-Flanders
CMP-2025-001,Radio,Station_14,Program_17,Morning,52,534318,82.72,8,85244,2025-07-31,NL-North
CMP-2025-003,Radio,Station_11,Program_15,Morning,23,398389,26.1,3,136405,2025-05-28,DE-Berlin
CMP-2025-001,TV,Station_11,Program_20,Afternoon,55,1852269,15.89,9,127564,2025-01-08,DE-Berlin
CMP-2025-007,TV,Station_8,Program_4,Afternoon,41,200473,88.67,5,59403,2025-09-18,
CMP-2025-004,TV,Station_8,Program_18,Afternoon,34,876346,18.92,10,126984,2025-09-18,NL-South
CMP-2025-003,Radio,Station_6,Program_30,Evening,10,1816995,27.59,5,18800,2025-10-28,DE-Berlin
CMP-2025-004,Radio,Station_6,Program_11,Night,39,1819582,88.69,4,39453,2025-12-24,NL-South
CMP-2025-002,Radio,Station_1,Program_11,Night,55,1204146,86.86,7,100893,2025-07-17,NL-South
CMP-2025-002,Radio,Station_14,,Night,16,1043779,50.44,8,10204,2025-01-08,NL-South
CMP-2025-001,Radio,Station_13,Program_9,Evening,49,864787,66.11,11,40964,2025-02-11,BE-Flanders
CMP-2025-004,Radio,Station_11,Program_23,Night,44,1792489,4.37,2,140385,2025-05-01,BE-Flanders
CMP-2025-004,TV,Station_13,Program_21,Morning,38,482073,16.64,5,24192,2025-01-15,NL-North
CMP-2025-003,Radio,Station_6,Program_14,Afternoon,25,685262,50.93,10,15211,2025-12-16,NL-South
CMP-2025-001,Radio,Station_10,Program_22,Afternoon,41,361481,86.81,3,46393,2025-04-29,DE-Berlin
CMP-2025-004,Radio,Station_11,Program_1,Night,28,1342782,64.7,3,67078,2025-02-07,DE-Berlin
CMP-2025-005,Radio,Station_11,Program_14,Evening,39,1987302,80.46,4,91087,2025-07-16,
CMP-2025-004,Radio,Station_10,Program_10,Evening,11,228668,92.93,11,62682,2025-07-22,BE-Flanders
CMP-2025-007,TV,Station_15,Program_20,Night,28,21982,73.92,4,148854,2025-11-07,BE-Flanders
CMP-2025-005,Radio,Station_11,,Afternoon,50,464285,10.13,11,50341,2025-11-27,NL-North
CMP-2025-001,Radio,Station_12,Program_5,Morning,28,652879,31.71,7,116059,2025-03-31,
CMP-2025-003,Radio,Station_14,Program_6,Evening,40,282159,91.93,5,141902,2025-06-23,NL-North
CMP-2025-002,TV,Station_14,Program_22,Night,45,987162,35.38,7,20239,2025-01-08,BE-Flanders
CMP-2025-004,Radio,Station_11,,Evening,47,1130273,36.82,11,32898,2025-07-10,NL-North
CMP-2025-004,TV,Station_10,Program_29,Evening,49,1420234,21.81,2,61795,2025-11-22,DE-Berlin
CMP-2025-006,Radio,Station_2,Program_5,Morning,12,1912124,29.61,8,79717,2025-03-01,NL-North
CMP-2025-002,Radio,Station_8,Program_12,Night,47,497411,70.77,3,141414,2025-08-01,NL-North
CMP-2025-005,Radio,Station_5,Program_2,Evening,23,1753381,42.68,4,128779,2025-07-05,NL-North
CMP-2025-005,Radio,Station_1,Program_13,Evening,22,1442975,92.01,8,96794,2025-02-16,NL-South
CMP-2025-001,Radio,Station_4,Program_5,Afternoon,14,1350751,79.0,9,6098,2025-04-17,NL-South
CMP-2025-003,TV,Station_13,Program_29,Morning,27,1710095,81.69,3,61579,2025-03-08,BE-Flanders
CMP-2025-001,TV,Station_3,Program_1,Evening,60,1679604,75.11,10,46243,2025-06-15,NL-North
CMP-2025-001,TV,Station_12,Program_14,Morning,57,370420,6.97,8,70064,2025-07-05,NL-North
CMP-2025-002,TV,Station_12,Program_26,Evening,39,952924,61.47,1,132578,2025-02-01,
CMP-2025-004,TV,Station_8,Program_23,Night,14,1781913,85.53,6,105781,2025-11-08,NL-South
CMP-2025-003,Radio,Station_7,Program_20,Evening,39,142745,48.52,7,33580,2025-02-20,NL-North
CMP-2025-006,TV,Station_7,Program_15,Afternoon,36,1793435,32.86,8,145029,2025-07-24,DE-Berlin
CMP-2025-003,Radio,Station_6,Program_22,Evening,33,1535108,90.64,11,25426,2025-08-31,NL-North
CMP-2025-001,Radio,Station_2,,Evening,18,196312,53.3,10,22877,2025-10-15,BE-Flanders
CMP-2025-004,Radio,Station_14,Program_22,Night,56,1410119,5.84,5,32542,2025-11-04,BE-Flanders
CMP-2025-005,TV,Station_3,Program_22,Night,24,742455,80.64,6,27658,2025-10-12,BE-Flanders
CMP-2025-005,TV,Station_13,Program_14,Morning,48,245931,88.33,12,73524,2025-05-17,NL-North
CMP-2025-006,Radio,Station_15,Program_11,Evening,10,383359,18.05,3,72136,2025-10-17,DE-Berlin
CMP-2025-006,TV,Station_2,Program_24,Afternoon,34,150931,40.46,6,37691,2025-03-22,BE-Flanders
CMP-2025-007,TV,Station_15,Program_2,Afternoon,20,658550,71.92,1,85535,2025-12-12,NL-North
CMP-2025-006,Radio,Station_8,Program_20,Night,36,575641,26.68,9,116659,2025-02-28,BE-Flanders
CMP-2025-003,Radio,Station_9,Program_22,Evening,12,906594,21.73,10,29569,2025-01-29,NL-North
CMP-2025-002,TV,Station_13,Program_9,Evening,30,433706,12.28,8,79515,2025-08-09,NL-South
CMP-2025-005,TV,Station_9,Program_18,Evening,14,275922,38.32,12,100169,2025-01-22,DE-Berlin
CMP-2025-001,Radio,Station_10,Program_14,Night,55,44303,61.17,5,121021,2025-02-28,DE-Berlin
CMP-2025-002,Radio,Station_14,Program_23,Evening,15,48739,42.05,2,85636,2025-05-05,DE-Berlin
CMP-2025-005,TV,Station_7,Program_28,Evening,57,1239952,32.91,6,105475,2025-03-28,NL-North
CMP-2025-005,TV,Station_15,Program_25,Evening,32,1075561,69.37,11,30391,2025-03-17,NL-South
CMP-2025-003,TV,Station_3,Program_20,Afternoon,58,220596,72.36,2,38889,2025-04-01,DE-Berlin
CMP-2025-007,Radio,Station_11,Program_30,Evening,50,977980,30.72,8,148279,2025-02-04,DE-Berlin
CMP-2025-007,Radio,Station_10,Program_2,Evening,42,932377,7.97,8,79882,2025-08-20,NL-North
CMP-2025-007,Radio,Station_2,Program_21,Morning,49,124307,56.84,7,97162,2025-08-25,NL-North
CMP-2025-003,Radio,Station_9,Program_5,Morning,38,948159,10.73,6,49845,2025-02-13,NL-South
CMP-2025-006,Radio,Station_8,Program_17,Afternoon,33,87086,36.05,5,65444,2025-07-18,DE-Berlin
CMP-2025-006,TV,Station_13,Program_21,Evening,14,1629170,31.99,9,89200,2025-12-14,DE-Berlin
CMP-2025-006,TV,Station_6,Program_3,Afternoon,32,600899,30.16,11,66559,2025-12-24,DE-Berlin
CMP-2025-003,Radio,Station_11,Program_26,Evening,18,275431,63.99,12,22708,2025-12-17,NL-North
CMP-2025-005,Radio,Station_1,Program_12,Evening,21,1359812,90.41,6,111493,2025-09-06,NL-South
CMP-2025-002,TV,Station_5,Program_28,Morning,42,480095,73.46,12,36561,2025-09-27,NL-North
CMP-2025-007,TV,Station_10,Program_13,Afternoon,20,1393166,18.0,12,88780,2025-11-16,NL-South
CMP-2025-001,Radio,Station_6,Program_22,Afternoon,38,1517430,58.4,12,115233,2025-08-18,NL-South
CMP-2025-003,Radio,Station_15,Program_27,Afternoon,33,1124902,64.76,10,63196,2025-08-14,DE-Berlin
CMP-2025-007,Radio,Station_9,Program_17,Night,20,1618629,77.79,10,74364,2025-03-12,BE-Flanders
CMP-2025-007,Radio,Station_9,Program_30,Morning,55,114428,80.51,2,126483,2025-05-26,NL-North
CMP-2025-003,Radio,Station_15,Program_17,Afternoon,37,1605371,9.62,4,42524,2025-08-19,BE-Flanders
CMP-2025-004,TV,Station_7,Program_17,Evening,25,1956341,37.3,2,7491,2025-07-11,NL-South
CMP-2025-001,Radio,Station_13,Program_5,Afternoon,12,64113,27.97,8,84041,2025-12-23,NL-South
CMP-2025-001,TV,Station_2,Program_7,Afternoon,42,1243352,57.59,9,111104,2025-04-12,DE-Berlin
CMP-2025-005,Radio,Station_13,Program_28,Morning,58,467297,76.75,12,118257,2025-08-05,BE-Flanders
CMP-2025-002,Radio,Station_2,Program_3,Night,16,587738,34.74,6,41258,2025-11-06,BE-Flanders
